ID;Tanggal_Tweet;Isi_Tweet;Nama_Pengguna;Jumlah_Retweet;Sumber;Retweet_Status;Hashtag;Sentimen
1,33E+18;26/11/2020 12:30;b'RT @KabarGunkid: BREAKING NEWS : Disdikpora Gunungkidul Hentikan Pertemuan Tatap Muka di Seluruh Sekolah https://t.co/qHNIoiSs06';yuni289;2;Twitter for Android;1;[];negatif
1,33E+18;26/11/2020 12:28;b'@April_laah Menurut saya sih sekolah ttp tatap muka tpi ttp ada protokol yg harus di lakukan, sedangkan wisata\xe2\x80\x9d sekarang aja di buka masa sekolah ga di buka';agungprasset;0;Twitter for iPhone;0;[];positif
1,33E+18;26/11/2020 12:27;b'@1trenggalek Kekhawatiran Sekolah Tatap Muka Januari 2021\nhttps://t.co/GOsgJP1CWm';OngSheri;0;Twitter Web App;0;[];negatif
1,33E+18;26/11/2020 12:26;b'Corona Masih Ada, Sekolah Mau di Buka?\n.\nhttps://t.co/ikjVRJcgEo\n.\nPolemik pendidikan kala pandemi masih berlanjut. Yang terbaru adalah wacana tentang di bukanya kembali sekolah atau pembelajaran tatap muka pada tahun 2021 https://t.co/QS4HuW6SwE';johncas97281842;0;Twitter for Android;0;[];negatif
1,33E+18;26/11/2020 12:25;b'Sekolah Tatap Muka di Depan Mata, Siswa Senang Tapi Malas Bangun Pagi \xe2\x80\x93 detikNews \xe2\x80\x93 https://t.co/YEfq8WVNe3 https://t.co/owmFNnvaKU';opsiin;0;WordPress.com;0;[];positif
1,33E+18;26/11/2020 12:25;b'@KemenkesRI @Kemdikbud_RI Yakin ? Sekolah tatap muka Jan 2021 ? https://t.co/47OCbRJANe';cienmin;0;Twitter for Android;0;[];positif
1,33E+18;26/11/2020 12:24;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';enikkurnia;15;Twitter Web App;1;[];negatif
1,33E+18;26/11/2020 12:11;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';syahrul_r18;15;Twitter for Android;1;[];positif
1,33E+18;26/11/2020 12:08;b'Sekolah diharap siap saat pemberlakuan belajar tatap muka\n\n#satgascovid19\n#ingatpesanibu\n#ingatpesanibupakaimasker\n#ingatpesanibujagajarak\n#ingatpesanibucucitangan\n#pakaimasker\n#jagarak\n#jagajarakhindarikerumunan\n#cucitangan\n#cucitanganpakaisabun \nhttps://t.co/kB4tOPMxSb';jubidotcom;0;Twitter for Android;0;['satgascovid19', 'ingatpesanibu', 'ingatpesanibupakaimasker', 'ingatpesanibujagajarak', 'ingatpesanibucucitangan', 'pakaimasker', 'jagarak', 'jagajarakhindarikerumunan', 'cucitangan', 'cucitanganpakaisabun'];positif
1,33E+18;26/11/2020 12:02;b'Persiapan pematangan konsep belajar untuk semester Genap Januari 2021\nTatap muka terbatas\nPJJ dg Aplikasi melibatkan ekosistem yang terkoneksi siswa, guru, orang tua dan pimpinan sekolah. https://t.co/6r1Z3SmXuh';BangWarman1;0;Twitter for Android;0;[];positif
1,33E+18;26/11/2020 12:02;b'@cahyadianugrah Dan malah mau nerapin sekolah tatap muka lagi taun 2021. Cuma bisa berdoa semoga semua para nakes dikasih kekuatan lahir batin sampe Allah hilangkan covid 19 ini secara ajaib, amin. Terima kasih buat semua pengorbanan kalian.\xf0\x9f\x99\x8f';Slepi1;0;Twitter for Android;0;[];positif
1,33E+18;26/11/2020 12:00;b'kalian lebih nyaman sekolah daring atau tatap muka?\n\naku si daring, di rumah tambah nolep xixixi';aaanndreewww;0;Twitter for Android;0;[];positif
1,33E+18;26/11/2020 11:54;"b""ribuan siswa di surabaya tes 'usap' jelang tatap muka belajar di sekolah.""";Jinggaviolet3;0;Twitter for Android;0;[];negatif
1,33E+18;26/11/2020 11:54;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';GinaInayah13;15;Twitter for Android;1;[];positif
1,33E+18;26/11/2020 11:44;b'@bonggbudiharto Kekhawatiran Sekolah Tatap Muka Januari 2021\nhttps://t.co/GOsgJP1CWm';OngSheri;0;Twitter Web App;0;[];positif
1,33E+18;26/11/2020 11:38;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';mfaqih_ali;15;Twitter for Android;1;[];negatif
1,33E+18;26/11/2020 11:29;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';laely_na;15;Twitter for Android;1;[];positif
1,33E+18;26/11/2020 11:29;b'Sekolah tatap muka tidak lantas membuat keadaan sekolah kembali normal. https://t.co/aVQO3LbhLH';republikaonline;0;roltweet;0;[];positif
1,33E+18;26/11/2020 11:23;b'RT @jubidotcom: Papua Sekolah diharap siap saat pemberlakuan belajar tatap muka https://t.co/iZrw47Oe59 https://t.co/Dxx6BAE7hE';victorcmambor;1;dlvr.it;1;[];positif
1,33E+18;26/11/2020 11:22;b'Papua Sekolah diharap siap saat pemberlakuan belajar tatap muka https://t.co/iZrw47Oe59 https://t.co/Dxx6BAE7hE';jubidotcom;1;dlvr.it;0;[];positif
1,33E+18;26/11/2020 11:21;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';ars_gx;15;Twitter for Android;1;[];positif
1,33E+18;26/11/2020 11:20;b'Pemda Harus Pertimbangkan 10 Faktor Ini, Jika Ambil Keputusan Sekolah Tatap Muka - https://t.co/owa9FoxZxr .......';kalderanews;0;Twitter Web App;0;[];positif
1,33E+18;26/11/2020 11:20;b'Pemerintah memutuskan untuk mengizinkan kegiatan belajar tatap muka di sekolah mulai Januari 2021. Kesehatan dan keselamatan siswa pun harus diutamakan. https://t.co/3WiqUmVHb4';haibundacom;0;Echobox;0;[];negatif
1,33E+18;26/11/2020 11:20;b'Pemda Harus Pertimbangkan 10 Faktor Ini, Jika Ambil Keputusan Sekolah Tatap Muka - https://t.co/owa9FoxZxr';kalderanews;0;Twitter Web App;0;[];positif
1,33E+18;26/11/2020 11:19;b'@fadjroeL Pak, sy melihat info di media, kalau yg rencqna di vaksin covid usia 15-59th. Masalahnya ktk nanti januari 2021, dipaksakan sekolah tatap muka, berarti anak yg sklh usia paud smpi smp, tdk punya proteksi terhadap covid, riskan terpapar covid. Trus solusinya bgmn pak? @jokowi \xf0\x9f\x98\x8a';linka100677;0;Twitter for Android;0;[];negatif
1,33E+18;26/11/2020 11:18;b'JAKARTA \xe2\x80\x93\xc2\xa0Satgas Penanganan COVID-19 mengingatkan untuk memulai kegiatan belajar mengajar tatap muka saat pandemi COVID-19 tidak bisa dilakukan secara instan. \xe2\x80\x9cKegiatan belajar https://t.co/jg4Oi3y1Vl';Radar_Cirebon;0;WordPress.com;1;[];negatif
1,33E+18;26/11/2020 11:15;b'Ada Kekhawatiran Muncul Klaster Baru Saat Sekolah Tatap Muka Dibuka Kembali\n\nhttps://t.co/yf0E02J4J0\n\n#Cluster #BacktoSchool #COVID19 #CovidVaccine #coronavirus';mainmainid_;0;Twitter for iPhone;0;['Cluster', 'BacktoSchool', 'COVID19', 'CovidVaccine', 'coronavirus'];negatif
1,33E+18;26/11/2020 11:12;b'[VIDEO] Pembelajaran Tatap Muka, Sekolah Wajib Terapkan Prokes Ketat https://t.co/iCut1sTO4z #vlix';VIVAcoid;0;dlvr.it;0;['vlix'];negatif
1,33E+18;26/11/2020 11:12;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';Mbahkonk;15;Twitter for Android;1;[];positif
1,33E+18;26/11/2020 11:11;b'RT @KabarGunkid: BREAKING NEWS : Disdikpora Gunungkidul Hentikan Pertemuan Tatap Muka di Seluruh Sekolah https://t.co/qHNIoiSs06';EkaSefry;2;Twitter for iPhone;1;[];positif
1,33E+18;26/11/2020 11:11;b'RT @tribunjogja: Pemkab Sleman Persiapkan Sekolah Tatap Muka Pada Pertengahan Januari 2021 https://t.co/8D3Zgk0194';ypramudya;1;Twitter for Android;1;[];negatif
1,33E+18;26/11/2020 11:09;b'kalian kalau nanti sekolah tatap muka, masih tetep aktif di twt gaa?';almondnmylk;0;Twitter for iPhone;0;[];positif
1,33E+18;26/11/2020 11:07;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';annisacaa;15;Twitter for Android;1;[];positif
1,33E+18;26/11/2020 11:07;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';ryolandafit;15;Twitter Web App;1;[];positif
1,33E+18;26/11/2020 11:07;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';melijaahh;15;Twitter for iPhone;1;[];positif
1,33E+18;26/11/2020 11:06;b'RT @CNNIndonesia: Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan juml\xe2\x80\xa6';akoemala;15;Twitter for Android;1;[];positif
1,33E+18;26/11/2020 11:06;b'@osacarush klo sekolah tatap muka,,ak gx bisa main twt,,,ak msuk asrama\xf0\x9f\x98\xad';tigerjaems;0;Twitter for Android;0;[];positif
1,33E+18;26/11/2020 11:05;b'@S00YYANG klo sekolah tatap muka,,ak gx bisa main twt,,,ak msuk asrama\xf0\x9f\x98\xad';tigerjaems;0;Twitter for Android;0;[];positif
1,33E+18;26/11/2020 11:04;b'Pemkab Sleman Persiapkan Sekolah Tatap Muka Pada Pertengahan Januari 2021 https://t.co/8D3Zgk0194';tribunjogja;1;IFTTT;0;[];positif
1,33E+18;26/11/2020 11:00;b'Mulai Januari 2021, sekolah tatap muka kembali diperbolehkan dengan beberapa syarat. Salah satunya adalah pembatasan jumlah maksimal peserta didik.\n\nKetahui syarat lainnya berikut ini: https://t.co/I5np3EERGO #CNNIndonesia https://t.co/AudC36lbvU';CNNIndonesia;15;Twitter Media Studio;0;['CNNIndonesia'];positif
1,33E+18;26/11/2020 10:55;b'Mendikbud: Pembukaan Sekolah Tatap Muka Harus Keputusan\xc2\xa0Bersama https://t.co/z68QrZ9j9p';radioantero;0;WordPress.com;0;[];positif
1,33E+18;26/11/2020 10:54;b'RT @tvOneNews: Ratusan Siswa di Surabaya Jalani Tes Swab Jelang Sekolah Tatap Muka | tvOne https://t.co/I3eNAozVMa';NovendraPutra4;3;Twitter for Android;1;[];positif
1,33E+18;26/11/2020 10:52;b'Semua sekolah di Sangihe sudah terapkan KBM secara tatap muka https://t.co/70od2FmPA8 https://t.co/Tye4D7xPNe';ElshintaDotcom;0;Twitter Web App;0;[];positif
1,33E+18;26/11/2020 10:50;b'BREAKING NEWS : Disdikpora Gunungkidul Hentikan Pertemuan Tatap Muka di Seluruh Sekolah\nhttps://t.co/NdwktqRgi3 via @tribunjogja';tribunnews;0;Twitter Web App;0;[];positif
1,33E+18;26/11/2020 10:48;b'Harus diantar jemput orang tua https://t.co/EO4QtbCmE3';eradotid;0;Era.ID;0;[];negatif
